Date;P1;Q1;P2;Q2;P3;Q3;;
22.07.2017 03:44;6.423333333;0;6.423333333;0;6.423333333;0;;
22.07.2017 03:45;6.41;0;6.41;0;6.41;0;;
22.07.2017 03:46;6.396666667;0;6.396666667;0;6.396666667;0;;
22.07.2017 03:47;6.403333333;0;6.403333333;0;6.403333333;0;;
22.07.2017 03:48;6.426666667;0;6.426666667;0;6.426666667;0;;
22.07.2017 03:49;6.39;0;6.39;0;6.39;0;;
22.07.2017 03:50;6.4;0;6.4;0;6.4;0;;
22.07.2017 03:51;6.39;0;6.39;0;6.39;0;;
22.07.2017 03:52;6.41;0;6.41;0;6.41;0;;
22.07.2017 03:53;6.383333333;0;6.383333333;0;6.383333333;0;;
22.07.2017 03:54;6.373333333;0;6.373333333;0;6.373333333;0;;
22.07.2017 03:55;6.426666667;0;6.426666667;0;6.426666667;0;;
22.07.2017 03:56;6.4;0;6.4;0;6.4;0;;
22.07.2017 03:57;6.396666667;0;6.396666667;0;6.396666667;0;;
22.07.2017 03:58;6.413333333;0;6.413333333;0;6.413333333;0;;
22.07.2017 03:59;7.613333333;0;7.613333333;0;7.613333333;0;;
22.07.2017 04:00;7.586666667;0;7.586666667;0;7.586666667;0;;
22.07.2017 04:01;7.6;0;7.6;0;7.6;0;;
22.07.2017 04:02;7.576666667;0;7.576666667;0;7.576666667;0;;
22.07.2017 04:03;7.116666667;0;7.116666667;0;7.116666667;0;;
22.07.2017 04:04;7.103333333;0;7.103333333;0;7.103333333;0;;
22.07.2017 04:05;7.11;0;7.11;0;7.11;0;;
22.07.2017 04:06;6.89;0;6.89;0;6.89;0;;
22.07.2017 04:07;6.903333333;0;6.903333333;0;6.903333333;0;;
22.07.2017 04:08;6.89;0;6.89;0;6.89;0;;
22.07.2017 04:09;6.886666667;0;6.886666667;0;6.886666667;0;;
22.07.2017 04:10;6.41;0;6.41;0;6.41;0;;
22.07.2017 04:11;6.42;0;6.42;0;6.42;0;;
22.07.2017 04:12;6.423333333;0;6.423333333;0;6.423333333;0;;
22.07.2017 04:13;6.423333333;0;6.423333333;0;6.423333333;0;;
